"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"119.47500","119.47500","","Maastricht-Aachen Airport (Tower)","Beek","Analoog"
"119.7000","119.7000","","Maastricht-Aachen Airport (Tower/Regional Guard)","Beek","Analoog"
"120.200000","120.20000","","Maastricht-Aachen Airport (Approach Backup)","Beek",""
"120.40000","120.40000","","Zwartberg Airfield (EBZW) GENK","Zwartberg-Genk","Analoog"
"121.825000","121.82500","","Maastricht-Aachen Airport (Delivery)","Beek",""
"121.900000","121.90000","","Maastricht-Aachen Airport (Havendienst)","Beek",""
"122.475000","122.47500","","Zweefvliegveld Groote Heide","Venlo",""
"123.35000","123.35000","","KLu Zweefvliegclub De Peel","Vredepeel","Analoog"
"123.50000","123.50000","","Eerste Limburgse Zweefvlieg Club","Schinveld","Analoog"
"123.975000","123.97500","","Maastricht-Aachen Airport (Approach)","Beek",""
"124.575000","124.57500","","Maastricht-Aachen Airport (ATIS)","Beek",""
"131.500000","131.50000","","Maastricht-Aachen Airport (Jet Center)","Beek",""
"131.750000","131.75000","","Maastricht-Aachen Airport (Maastricht Handling Services)","Beek",""
"143.575000","143.57500","Apco 25","Allied Joint Force Command Headquarters","Brunssum",""
"143.700000","143.70000","Apco 25","Allied Joint Force Command Headquarters","Brunssum",""
"143.850000","143.85000","Apco 25","Allied Joint Force Command Headquarters","Brunssum",""
"145.600000","145.00000","71,9","PI3SRT zendamateur  relais","Venlo",""
"145.725000","145.12500","71,9","PI3ZLB zendamateur  relais","Hulsberg",""
"148.4875","148.4875","","Kerkradio Parochie H. Aldegundis Maasbree","Maasbree","Analoog"
"148.6125","148.6125","","Kerkradio HH Fabianus en Sebastianusparochie Sevenum","Sevenum","Analoog"
"149.787500","","","Crowntax","Landgraaf",""
"149.887500","","","Seltax","Roermond",""
"150.437500","","","Megamix Terraq","Venlo",""
"150.487500","150.48750","85,4","ENCI Beton","Maastricht",""
"150.562500","","","Sabo bv","Weert",""
"151.48125","146.88125","","Canon Production Printing","Venlo","DMR"
"151.512500","","","Brutax","Roermond",""
"151.512500","","","Kappa Roermond Papier","Roermond",""
"151.51875","146.91875","","Canon Production Printing ","Venlo","DMR"
"151.637500","","","Thijssen","Mook",""
"151.637500","","","Yellow Cab Taxi","Weert",""
"152.037500","","DCS047","ECT","Venlo",""
"152.062500","","DCS331","Van Rattingen Kraanverhuur","Venray",""
"152.062500","","","Makado","Beek",""
"152.062500","","","Zwembad en sporthallen","Geleen",""
"152.062500","","","Golden Retrieverclub  (hondenclub)","Roermond",""
"152.062500","","","ProCentrum Rij-instructie Trafficport","Venlo",""
"152.062500","","","Verpleeghuis  Prof,Dubois  Stichting","Venlo",""
"152.062500","","","Hoechst Holland","Weert",""
"152.062500","","","Presco international","Weert",""
"152.075000","152.07500","","Amerikaanse Oorlogsbegraafplaats","Margraten",""
"152.081250","147.48125","","Landal Bungalowpark en Camping De Schatberg","Sevenum","NXDN"
"152.112500","","","Makado","Beek",""
"152.112500","","","Zwembad en sporthallen Glanerbrook","Geleen",""
"152.112500","","","Hoechst Holland","Weert",""
"152.237500","","","Schagen wegenbouw","Roermond",""
"152.237500","","","Lintzen wegenbouw","Sittard",""
"152.262500","","","Medisch gebruik","Roermond",""
"152.337500","","","Dierenambulance","Vaals",""
"152.362500","","","Medisch gebruik","Geleen",""
"152.362500","","","Dierenkliniek","Heerlen",""
"152.462500","","","Gemeentewerken Geleen","Geleen",""
"152.812500","","","Xerox/Flextronics","Venray",""
"152.91250","152.91250","","Maessen Venray","Venray","Analoog"
"153.15625","148.55625","","Stewards Roda JC","Kerkrade","Analoog"
"153.181250","148.58125","","Orbis Medisch Centrum","Geleen",""
"153.181250","148.58125","71,9","Rank Xerox","Venray",""
"154.762500","150.16250","","Gemeentewerken Landgraaf","Landgraaf",""
"154.787500","150.18750","","Gemeentewerken Roermond","Roermond",""
"155.737500","","","Woningstichting","Sittard",""
"158.430000","","","Woningbouwvereniging St Joseph","Roermond",""
"158.470000","","","Hoechst Bedrijfsbrandweer","Weert",""
"158.570000","","","Brunna","Brunssum",""
"158.670000","","","Taxicentrale","Roermond",""
"158.690000","","","Taxibedrijf T,Tax","Venlo",""
"158.830000","","","Hans van Lugten","Heerlen",""
"158.890000","","","Princen","Weert",""
"158.990000","","","AA-Tax","Roermond",""
"159.070000","","","City-Tax","Kerkrade",""
"159.070000","","","Mulder","Stein",""
"159.450000","","","Duyts bergingsbedrijf","Nederweert",""
"159.530000","","","GGZ Noord en Midden Limburg Vincent van Gogh Instituut","Venray",""
"159.530000","","","Peters loonbedrijf","Venray",""
"159.670000","","91,5","Essent","Venlo",""
"159.810000","","","Kauffeld bergingsbedrijf","Roermond",""
"160.170000","","","Natuurwacht  kan 1","Venlo",""
"160.470000","160.47000","","Rederij Stiphout","Maastricht",""
"160.470000","160.47000","NXDN Ran 56","ECT Containeroverslag (Kraan 01)","Venlo",""
"160.570000","","","Natuurwacht","Venlo",""
"160.570000","160.57000","NXDN Ran 14","ECT Containeroverslag (Kraan 02)","Venlo",""
"161.52500","156.92500","","Marifoonkanaal 78, Sluis Maasbracht","Maasbracht","Analoog"
"161.600000","157.00000","","St Servaasbrug / Sluis Limmel","Maastricht",""
"161.67500","157.07500","","Marifoonkanaal 81, Sluis Panheel","Heel","Analoog"
"162.970000","162.97000","","Transportbedrijf Driessen","Horst aan de Maas",""
"163.010000","","","Sint Jans Gasthuis","Weert",""
"163.030000","","","Gemeentewerken Susteren","Susteren",""
"163.070000","","","Grondwerk  en transport Smolenaers","Nederweert",""
"163.110000","163.11000","","Transportbedrijf (vermoedelijk Cerfontaine)","Maastricht",""
"163.110000","","","Mesttransport  en Recycling Stassen B,V,","Sittard",""
"163.330000","","","Gemeentewerken Roermond","Roermond",""
"163.350000","","","Gemeentewerken Sittard","Sittard",""
"163.350000","","","Openbare werken Stein","Stein",""
"164.050000","","","Harrie Kirkels containers","Weert",""
"164.090000","","","Jansen transportbedrijf","Heerlen",""
"164.090000","","","Veltmeijer gokautomaten","Sittard",""
"164.210000","","69,3","TCT Containerterminal","Venlo",""
"164.230000","","","Barents stukadoorsbedrijf","Weert",""
"164.230000","","","Lambers transportbedrijf","Weert",""
"164.250000","","97,4","Zuid Limburgse Stoomtrein Maatschappij  ZLSM","Simpelveld",""
"164.310000","","","van Rattingen containervervoer","Venray",""
"164.410000","","","Lambers transportbedrijf","Weert",""
"164.990000","","","KNBRD kanaal 1/wit brigade Gennep brigade nummer 22-00,,49","Gennep",""
"164.990000","","","KNBRD kanaal 1/wit brigade Maastricht brigade nummer 99-00,,49","Maastricht",""
"164.990000","","","KNBRD kanaal 1/wit brigade Roermond brigade nummer 68-00,,49","Roermond",""
"164.990000","","","KNBRD kanaal 1/wit brigade Venlo brigade nummer 40-00,,49","Venlo",""
"164.990000","","","KNBRD kanaal 1/wit brigade Weert brigade nummer 98-00,,49","Weert",""
"165.070000","","","Convoi Europe","Sittard",""
"165.790000","","","Geja glasrecycling","Susteren",""
"165.850000","","","ND Logistics BHV","Venray",""
"167.050000","","","ITL Benelux kanaal 32 Emplacement  Venlo DB","Venlo",""
"169.05000","169.05000","","Ittervoort Betoncentrale B.V.","Ittervoort","Analoog"
"169.050000","","","Kalle en Bakker betoncentrale","Nederweert",""
"169.970000","","","Tehuis Op de Bies","Landgraaf",""
"170.3300","170.3300","103.5","Verkeersregelaars","Maastricht","Analoog"
"170.330000","170.33000","DCS065","Unit 13 Outdoor Adventures","Sittard",""
"170.330000","","71,9","Geodis Logistics","Venray",""
"170.330000","","","BHV Invista","Kerkrade",""
"170.330000","","","Hambos Kliniek","Kerkrade",""
"170.330000","","","Bisschoppelijk  College Broekhin","Roermond",""
"170.330000","","","Sint Laurentius Zh","Roermond",""
"170.330000","","","Schouwburg  en congrescentrum Maaspoort","Venlo",""
"170.330000","","","Voetbalstadion  De Koel","Venlo",""
"170.330000","","","Xeros Computer-service","Venray",""
"170.330000","","","Hoechst Holland","Weert",""
"170.330000","","","Sint Jans Gasthuis","Weert",""
"170.330000","170.33000","100,0","DIS drankenindustrie BHV-kanaal","Sittard",""
"170.370000","170.37000","67,0","DIS drankenindustrie HTC (hetrucks)","Sittard",""
"170.370000","","71,9","Geodis Logistics","Venray",""
"170.370000","","82,5","Zwembad De Nieuwe Hateboer","Sittard",""
"170.370000","","","Hambos Kliniek","Kerkrade",""
"170.370000","","","Bisschoppelijk  College Broekhin","Roermond",""
"170.370000","","","Stadion De Koel","Venlo",""
"170.370000","","","Sint Jans Gasthuis","Weert",""
"170.370000","170.37000","","Roompot Vakantiepark Weerterbergen","Weert",""
"170.390000","","","Sint Laurentius Zh","Roermond",""
"170.410000","","85,4","Gemeente","Horst aan de Maas",""
"170.470000","","","DSM Pharma Chemicals Venlo BV","Venlo",""
"170.470000","","","Essent","Venlo",""
"170.530000","","","Laurentius Ziekenhuis","Roermond",""
"170.530000","","","Essent","Venlo",""
"170.530000","","","Hoechst Holland","Weert",""
"170.570000","","91,5","Essent","Venlo",""
"170.570000","","","Hambos Kliniek","Kerkrade",""
"170.570000","","","Bisschoppelijk  College Broekhin","Roermond",""
"170.570000","","","Geurts-Jannsen Staalproducten","Venlo",""
"170.570000","","","Voetbalstadion  De Koel","Venlo",""
"170.570000","","","Hoechst Holland","Weert",""
"170.650000","","","Hago Nederland","Heerlen",""
"170.650000","","","Beveiliging Warenhuis Trefcenter","Venlo",""
"170.650000","","","Essent","Venlo",""
"170.650000","","","Akzo Zoutchemie","Weert",""
"171.150000","166.65000","","ITL Benelux kanaal 31 Emplacement  Venlo Treindienstleider","Venlo",""
"171.430000","","","ITL Benelux kanaal 30 Emplacement  Sittard Procesco”rdinator","Sittard",""
"171.630000","","","DB Schenker (voorheen Railion)","Venlo",""
"171.770000","167.17000","","NS Perron- en rangeerdienst","Heerlen",""
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Noord en Midden Limburg","Limburg","DMR"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Limburg-Noord","Venlo","DMR encrypted"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Zuid-Limburg","Maastricht","DMR encrypted"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Noord en Midden Limburg","Limburg","DMR"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Limburg-Noord","Venlo","DMR encrypted"
"172.68125","168.08125","","Rode Kruis kanaal RV7, Regio Zuid-Limburg","Maastricht","DMR encrypted"
"172.73125","168.13125","","Rode Kruis kanaal RV9, Regio Noord en Midden Limburg","Limburg","DMR"
"172.73125","168.13125","","Rode Kruis kanaal RV9, Regio Limburg-Noord","Venlo","DMR encrypted"
"172.78125","168.18125","","Rode Kruis kanaal RV10, Regio Zuid-Limburg","Maastricht","DMR encrypted"
"181.600000","","","Rapportageverbinding Omroep Limburg","Limburg",""
"187.350000","","","Rapportageverbinding Omroep Limburg","Limburg",""
"340.850000","340.85000","","Maastricht-Aachen Airport (Approach)","Beek",""
"362.875000","362.87500","","Maastricht-Aachen Airport (Tower)","Beek",""
"419.875000","419.87500","71,9","Arriva (Kort verkeer)","Limburg",""
"424.712500","414.71250","","De Lijn","Provincie Limburg","Analoog"
"424.825000","414.82500","","De Lijn","Provincie Limburg",""
"424.850000","414.85000","","De Lijn","Provincie Limburg",""
"424.987500","414.98750","","De Lijn","Provincie Limburg",""
"426.53125","416.53125","","Chemelot","Geleen","TETRA"
"426.60625","416.60625","","Chemelot","Geleen","TETRA"
"426.70625","416.70625","","Chemelot","Geleen","TETRA"
"426.73125","416.73125","","Chemelot","Geleen","TETRA"
"427.53125","417.53125","","Chemelot","Geleen","TETRA"
"427.55625","417.55625","","Chemelot","Geleen","TETRA"
"427.63125","417.63125","","Chemelot","Geleen","TETRA"
"427.63125","417.63125","","Chemelot","Sittard-Geleen","TETRA"
"430.12500","431.72500","C 77.0","70 Centimeter Radiozendamateur Repeaterstation PI2NOS","Sittard","Analoog"
"430.200000","431.80000","71,9","PI2NLB zendamateur relais","Gennep",""
"430.350000","431.95000","71,9","PI2VNR zendamateur relais","Venray",""
"438.025000","430.42500","","PI1NLB zendamateur relais DMR<BR>Type: DMR/Hytera <BR>CC: 1 <BR>TS: 1 en 2 <BR>TG(s):","Gennep",""
"438.150000","430.55000","","PI1ZLB zendamateur relais DMR<BR>Type: DMR/Hytera <BR>CC: 3 <BR>TS: 1 en 2 <BR>TG(s):","Maastricht",""
"438.262500","430.66250","","PI1HRL zendamateur relais ","Heerlen","DMR"
"444.600000","444.60000","","BVB (Bas van Buuren) Euroveen BV","Grubbenvorst","DMR"
"445.5625","445.5625","","Plus Supermarkt Caberg (Winkelpersoneel)","Maastricht","DMR"
"445.56250","445.56250","","Leen Bakker Belvedere","Maastricht","DMR"
"445.562500","445.56250","","Plus Supermarkt Savelkoul (Winkelpersoneel)","Maastricht ","DMR"
"445.83750","445.83750","C 88.5","Motorrijschool","Limburg","Analoog"
"445.900000","445.90000","","Zweefvliegveld Venlo (Lierkanaal)","Venlo",""
"445.93750","445.93750","C 107.2","Motorrijschool Stuur Zelf Sint-Truiden","Limburg","Analoog"
"446.00625","446.00625","C 146.2","Washin7 indoor auto wasstraat","Venlo","Analoog"
"446.00625","446.00625","C 67.0","Jumbo Heerschap Boshoven (Winkelpersoneel)","Weert","Analoog"
"446.00625","446.00625","C 67.0","Action (Winkelpersoneel)","Reuver","Analoog"
"446.00625","446.00625","","Milieupark Het Rondeel","Maastricht","Analoog"
"446.00625","446.00625","","Attractiepark Toverland","Sevenum","Analoog"
"446.006250","446.00625","67,0","Jumbo Supermarkt Tegelpoort (Winkelpersoneel)","Venlo",""
"446.006250","446.00625","","CenterParcs Bungalowpark Limburgse Peel (Cottage Service)","America",""
"446.01875","446.01875","C 123.0","Attractiepark Toverland","Sevenum","Analoog"
"446.018750","446.01875","123,0","CenterParcs Bungalowpark Limburgse Peel (Zwembad)","America",""
"446.018750","446.01875","97,4","Center Parcs de Huttenheugte zwembad","Dalen",""
"446.018750","446.01875","67,0","Karwei bouwmarkt (winkelpersoneel)","Venlo",""
"446.03125","446.03125","","Praxis Nijverheidsweg","Maastricht","Analoog"
"446.031250","446.031250","103,5","Toverland Parkeerwachters","Sevenum","Analoog"
"446.031250","446.03125","71,9","	Jumbo Supermarkt Winters (Winkelpersoneel)","Venray",""
"446.031250","446.03125","","Parkstad Limburg Theaters","Heerlen",""
"446.04375","446.04375","C 67.0","Plus Supermarkt Vijgen (Winkelpersoneel)","Geleen","Analoog"
"446.04375","446.04375","","Attractiepark Toverland","Sevenum","Analoog"
"446.04375","446.04375","C 67,0","Center Parcs Het Heijderbos (Zwembad Aqua Mundo)","Heijen","Analoog"
"446.05625","446.05625","","Jan Linders Supermarkt Roermondseweg (Winkelpersoneel)","Weert","Analoog"
"446.05625","446.05625","","Action (Winkelpersoneel)","Weert","Analoog"
"446.05625","446.05625","","Attractiepark Toverland","Sevenum","Analoog"
"446.056250","446.05625","74,4","Center Parcs de Huttenheugte bewaking/onderhoud","Dalen",""
"446.06875","446.06875","C 82.5","Attractiepark Toverland","Sevenum","Analoog"
"446.06875","446.06875","","Jumbo Supermarkt WieÃ«n  (Winkelpersoneel)","Venlo","Analoog"
"446.08125","446.08125","162.2","Jumbo Supermarkt Vossener (Winkelpersoneel)","Venlo","Analoog"
"446.08125","446.08125","","Albert Heijn Heerschap Leuken (Winkelpersoneel)","Weert","Analoog"
"446.09375","446.09375","C 110.9","Attractiepark Toverland","Sevenum","Analoog"
"446.093750","446.09375","67,0","CenA (Winkelpersoneel)","Heerlen",""
"446.13125","446.13125","C 107.2","Aldi Winkelpersoneel ","Baarlo","Analoog"
"446.13125","446.13125","C 107.2","Aldi (Winkelpersoneel) ","Meijel","Analoog"
"449.062500","","DMR","Allied Joint Force Command Headquarters","Brunssum",""
"452.637500","452.63750","74,4","Disco de Shuffle portiers","Horst aan de Maas",""
"454.862500","","156,7","Bewakingsdienst Severens BV","Horst aan de Maas",""
"454.887500","454.88750","192,8","Landal Hoog Vaals","Vaals",""
"454.900000","464.90000","241,8","Gilde Opleidingen","Venlo",""
"454.912500","454.91250","127,3","Primark Venlo (Winkelpersoneel)","Venlo",""
"454.925000","454.92500","82,5","Primark Venlo (Maat Winkelbeveiliging)","Venlo",""
"455.790000","","","Rockwool","Roermond",""
"455.810000","","151,4","Evenementenhal Venray","Venray",""
"455.810000","","233,6","Sandvik","Venlo",""
"455.810000","455.81000","","Verkeersregelaarsbureau Bakker","Maastricht",""
"455.810000","","","Foroxity Filmarena","Geleen",""
"455.810000","455.81000","","Eagle Verkeersregelaars","Heerlen",""
"455.810000","","","DHL Marco Poloweg","Venlo",""
"455.810000","455.81000","","Verkeersschool Bastiaens","Maastricht",""
"455.810000","455.81000","97,4","Vie Curi Ziekenhuis (Patientenvervoer)","Venlo",""
"455.890000","455.89000","","Geusseltbad","Maastricht",""
"455.890000","","203,5","Holland Casino (Catering)","Venlo",""
"455.890000","455.89000","","Verkeersregelaarsbureau Bakker","Maastricht",""
"455.890000","","","Bioscoop Foroxity","Roermond",""
"455.890000","","","Rockwool","Roermond",""
"455.890000","","","SIF Group","Roermond",""
"455.890000","","74,4","Trigion Beveiliging Designer Outlet","Roermond",""
"455.91000","455.91000","C 151.4","Open Universiteit (BHV)","Heerlen","Analoog"
"455.930000","455.93000","127,3","Bertelsman Arvato","Venray",""
"455.930000","","250,3","Trigion Beveiliging Designer Outlet","Roermond",""
"455.930000","","","Retailpark","Roermond",""
"455.930000","455.93000","85,4 Hz","Smalspoormuseum","Valkenburg",""
"455.930000","455.93000","","Stewards Fortuna Sittard","Sittard",""
"455.970000","","","Rockwool","Roermond",""
"456.070000","","","Rockwool","Roermond",""
"456.090000","","","Rockwool","Roermond",""
"456.170000","","","Bedrijfshulpverlening UWV Venlo kanaal 1","Venlo",""
"456.430000","","","Bedrijfshulpverlening UWV Venlo kanaal 2","Venlo",""
"458.510000","","","Haanen transportbedrijf","Weert",""
"458.610000","","","Linssen loonbedrijf","Roermond",""
"458.690000","458.69000","146,2","Maastricht-Aachen Airport (Airport Authorities)","Beek",""
"459.6500","459.6500","","Attero","Maastricht","DMR"
"460.181250","450.18125","","Rotterdamse Pijpleiding Mij.","Venlo","DMR"
"460.29375","459.29375","","Cabooter Group","Venlo","DMR"
"460.30000","450.30000","","Fontys International Campus","Venlo","DMR"
"460.45000","460.45000","","BRB International B.V. - BHV pagers","Ittervoort","Overige"
"460.45000","460.45000","","BRB International B.V. - BHV pagers","Echt","Overige"
"460.48750","450.48750","","ABP (Beveiliging)","Heerlen","DMR"
"460.543750","450.54375","","VidaXL (Beveiliging)<BR>Type: DMR/DMR <BR>CC: 5 <BR>TS: 1 en 2 <BR>TG(s): 101 t/m 106","Venlo",""
"460.55000","450.55000","","Pathe Bioscoop","Maastricht ","DMR"
"461.025000","451.02500","","Winkelbeveiliging Bijenkorf<BR>Type: DMR/DMR <BR>CC: 10 <BR>TS:  <BR>TG(s):","Maastricht",""
"461.03125","457.03125","","Zooitje Polen","Baarlo","DMR"
"461.062500","451.06250","","Maastricht UMCen <BR>Type: DMR/DMR <BR>CC: 7 <BR>TS: 1 en 2 <BR>TG(s): 100en101en102en103en104","Maastricht",""
"461.100000","451.10000","","Maastricht UMCen <BR>Type: DMR/DMR <BR>CC: 7 <BR>TS: 1 en 2 <BR>TG(s): 101,102,103,104","Maastricht",""
"461.35000","451.35000","","Zuyderland Ziekenhuis","Geleen","DMR"
"463.32500","463.32500","DCS 503","Antennebouw ?","Venlo","Analoog"
"464.77500","454.77500","","NedCar ","Born","DMR"
"464.81250","454.81250","","NedCar","Born","DMR"
"464.81875","454.81875","","Sibelco Benelux B.V. Ankerkade","Maastricht","DMR"
"464.87500","464.87500","C 91.5","Verkeersregelaars tijdens kerstmarkten","Valkenburg aan de Geul","Analoog"
"464.87500","454.87500","","NedCar","Born","DMR"
"464.875000","454.87500","CC02 / TG??","Gemeente Kerkrade Handhaving (DMR/DMR)","Kerkrade",""
"464.887500","","","Parkeer Politie cq Handhaving","Venray",""
"464.887500","454.88750","NXDN 96 Ran=06 TG 2002","CenterParcs Bungalowpark Limburgse Peel","America",""
"464.98750","454.98750","","NedCar","Born","DMR"
"466.450000","466.45000","","Verzorgingshuis Witte Steen (Personenzoeksysteem)","Venlo",""
"467.230000","","118,8","onbekend (scrambling)","Horst aan de Maas",""
"467.230000","","141,3","Forensisch Psychiatrisch  Centrum de Rooyse Wissel","Venray",""
"467.24375","457.24375","","Viecuri Ziekenhuis (Beveiliging)","Venlo","NXDN"
"467.25000","457.25000","","Center Parcs  het Heijderbos","Heijen","DMR"
"467.250000","457.25000","91,5","ROC Leeuwenborgh","Maastricht",""
"467.250000","457.25000","118,8","DSV Solution BHV","Venray",""
"467.25625","457.25625","","Viecuri Ziekenhuis (BHV)","Venlo","NXDN"
"467.270000","457.27000","91,5","onbekende BHV organisatie","Horst aan de Maas",""
"467.2900","457.2900","","Sibelco Ankerpoort NV","Maastricht","DMR"
"467.390000","457.39000","136,5","Stichting Pepijn en Paulus","Sittard",""
"468.06875","458.06875","","Dierenbeschermingscentrum Limburg","Born","DMR"
"468.100000","458.10000","DMR","Pinkpop 2016","Landgraaf",""
"468.450000","","","Woningstichting Land van Rode          JftsoeBrJ ;","Kerkrade",""
"468.550000","","77,0","Geodis/Vitesse","Venlo",""
"468.750000","","","Evenementenhal Venray (Verkeersregelaars)","Venray",""
"469.250000","459.25000","173,8","PI Roermond","Roermond",""
"469.310000","459.31000","123,0","Penitentiaire Inrichting De Geerhorst","Sittard",""
"469.59000","459.59000","","Stichting Jeugdzorg Sint Joseph, Het Keerpunt","Cadier en Keer","DMR"
"469.590000","459.59000","67,0","Vijverdal Geestelijke Gezondheidszorg","Maastricht",""
"469.590000","459.59000","100,0 / 71,9","John Deere (BHV)","Horst aan de Maas",""
"469.6250","459.6250","","Beveiliging Laurentius Ziekenhuis","Roermond","DMR"
